mode,target_length_s,n,mean_ms,p50_ms,p95_ms,p99_ms
bench,1,30,31.7,31.0,33.5,34.7
bench,3,30,36.7,36.0,38.0,38.0
bench,5,30,46.4,44.5,57.2,73.2
bench,10,30,53.9,53.0,57.7,62.8
bench,20,30,111.3,110.5,116.9,123.8
