mode,target_length_s,n,mean_ms,p50_ms,p95_ms,p99_ms
bench,1,30,45.3,45.0,49.0,49.7
bench,3,30,51.6,51.0,56.5,57.7
bench,5,30,59.2,58.5,64.3,69.1
bench,10,30,69.5,68.0,76.0,83.1
bench,20,30,184.3,182.0,193.9,205.1
