target_length_s,n,internal_mean_ms,internal_p50_ms,internal_p95_ms,wall_mean_ms,wall_p50_ms,wall_p95_ms,boundary_mean_ms,boundary_p50_ms,boundary_p95_ms
1,30,32.045,31.533,34.270,32.148,31.617,34.384,0.103,0.101,0.139
3,30,37.100,36.764,38.291,37.246,36.898,38.454,0.147,0.142,0.173
5,30,46.783,44.786,57.504,47.003,45.016,57.798,0.220,0.215,0.277
10,30,54.101,53.404,57.804,54.381,53.673,58.180,0.280,0.269,0.307
20,30,111.203,110.632,116.981,111.650,111.062,117.439,0.446,0.437,0.507
