mode,target_length_s,n,mean_ms,p50_ms,p95_ms,p99_ms
bench,1,30,45.2,45.0,48.0,48.7
bench,3,30,50.0,50.0,51.5,54.1
bench,5,30,58.5,58.0,62.3,67.8
bench,10,30,68.6,68.0,74.4,79.4
bench,20,30,184.3,181.0,197.0,202.7
