target_length_s,n,internal_mean_ms,internal_p50_ms,internal_p95_ms,wall_mean_ms,wall_p50_ms,wall_p95_ms,boundary_mean_ms,boundary_p50_ms,boundary_p95_ms
1,30,45.711,45.011,49.486,45.824,45.120,49.624,0.114,0.105,0.140
3,30,51.952,51.414,56.945,52.115,51.572,57.161,0.164,0.158,0.191
5,30,59.596,58.901,64.678,59.819,59.108,64.944,0.223,0.210,0.269
10,30,69.723,68.495,76.144,69.997,68.760,76.492,0.274,0.268,0.300
20,30,184.292,182.258,193.923,184.730,182.675,194.408,0.438,0.420,0.509
