target_length_s,n,internal_mean_ms,internal_p50_ms,internal_p95_ms,wall_mean_ms,wall_p50_ms,wall_p95_ms,boundary_mean_ms,boundary_p50_ms,boundary_p95_ms
1,30,45.537,45.008,48.328,45.656,45.116,48.463,0.119,0.117,0.143
3,30,50.381,50.010,51.840,50.538,50.169,52.018,0.156,0.155,0.176
5,30,58.832,58.126,62.605,59.057,58.341,62.852,0.224,0.218,0.263
10,30,68.736,67.934,74.454,69.016,68.216,74.757,0.281,0.275,0.310
20,30,184.256,181.161,196.889,184.712,181.605,197.319,0.456,0.441,0.528
