mode,target_length_s,n,mean_ms,p50_ms,p95_ms,p99_ms
bench,1,30,30.2,30.0,31.0,31.7
bench,3,30,33.2,33.0,34.5,35.7
bench,5,30,36.1,36.0,38.5,39.0
bench,10,30,40.3,40.0,42.6,44.0
bench,20,30,82.2,81.0,88.0,88.7
