target_length_s,n,windows,preprocessor_calls,encoder_calls,decoder_calls,joint_calls,native_decoder_steps,native_joint_steps,other_calls,resample_ms,mel_ms,preprocessor_ms,encoder_ms,decode_loop_ms,decode_loop_dispatch_ms,decoder_dispatch_ms,joint_dispatch_ms,decode_loop_native_ms,post_ms,overlapped_dispatch_ms,total_ms,boundary_ms,compute_units
1,30,1,0,1,0,0,7,16,0,0.001,3.226,0.000,25.956,1.378,0.000,0.000,0.000,1.235,0.041,0.000,30.623,0.128,"encoder=cpu-and-neural-engine,decoder=native,joint=native"
3,30,1,0,1,0,0,20,51,0,0.001,3.250,0.000,25.974,3.733,0.000,0.000,0.000,3.546,0.060,0.000,32.999,0.196,"encoder=cpu-and-neural-engine,decoder=native,joint=native"
5,30,1,0,1,0,0,40,101,0,0.001,3.205,0.000,25.971,7.341,0.000,0.000,0.000,7.064,0.077,0.000,36.613,0.281,"encoder=cpu-and-neural-engine,decoder=native,joint=native"
10,30,1,0,1,0,0,57,158,0,0.001,3.260,0.000,25.934,10.607,0.000,0.000,0.000,10.290,0.099,0.000,39.898,0.360,"encoder=cpu-and-neural-engine,decoder=native,joint=native"
20,30,2,0,2,0,0,123,343,0,0.001,6.311,0.000,51.846,22.998,0.000,0.000,0.000,22.318,0.165,0.000,81.316,0.577,"encoder=cpu-and-neural-engine,decoder=native,joint=native"
