target_length_s,n,internal_mean_ms,internal_p50_ms,internal_p95_ms,wall_mean_ms,wall_p50_ms,wall_p95_ms,boundary_mean_ms,boundary_p50_ms,boundary_p95_ms
1,30,30.728,30.627,31.368,30.863,30.758,31.551,0.135,0.128,0.183
3,30,33.158,33.004,34.093,33.359,33.204,34.288,0.201,0.196,0.244
5,30,36.914,36.620,39.015,37.201,36.895,39.323,0.287,0.281,0.328
10,30,40.284,39.904,42.540,40.651,40.263,42.936,0.367,0.360,0.410
20,30,82.231,81.323,87.952,82.811,81.908,88.556,0.581,0.577,0.608
